cluster_id,proposed_label,segment_count,document_count,percent_of_documents,representative_phrases
57,Erschöpfung / Müdigkeit,27,25,4.2,"Bei Aufnahmegespräch berichtet der Patient, dass sie auf dem Hintergrund durchgemachten Corona-Infektion im März 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektionen im März 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektionen im Februar 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet der Patient, dass er auf dem Hintergrund durchgemachten Corona-Infektion im November 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet der Patient, dass er auf dem Hintergrund durchgemachten Corona-Infektion im April 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektion im Dezember 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektion im Mai 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet der Patient, dass er auf dem Hintergrund durchgemachten Corona-Infektion im Februar 2023 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektion im Dezember 2023 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet der Patient, dass er auf dem Hintergrund durchgemachten Corona-Infektion im Oktober 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektionen im Januar 2021 und Aprill 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektion im Dezember 2021 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Im Aufnahmegespräch berichtet die Patientin, dass sie vor dem Hintergrund durchgemachter Corona-Infektionen im November 2021 unter einer ausgeprägten psychophysischen Erschöpfung leide.
---
Bei Aufnahmegespräch berichtet der Patient, dass er auf dem Hintergrund durchgemachten Corona-Infektion im März 2022 unter Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund mehreren durchgemachten Corona-Infektionen zwischen Jahren 2023 und 2024 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet der Patient, dass er auf dem Hintergrund durchgemachten Corona-Infektion im März 2020 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Zudem berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektion im Dezember 2023 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Im Aufnahmegespräch berichtet die Patientin, dass sie vor dem Hintergrund durchgemachter Corona-Infektionen im März 2020 unter einer ausgeprägten psychophysischen Erschöpfung leide.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten zweiten Corona-Infektionen im Oktober 2023 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektionen im Juli 2022 und Februar 2023 unter einer ausgeprägten psychophysischen Erschöpfung mit begleitenden anhaltenden Kopfschmerzen, Schlafstörungen, Konzentrationsstörungen, Geruch- und Geschmackstörungen sowie einem Reizhusten zu leiden."
78,Stimmung / Depression,25,24,4.1,"Im Vordergrund der psychischen Komponente steht eine depressive Symptomatik.
---
Im Vordergrund der psychischen Komponente steht depressive Symptomatik.
---
Im Vordergrund der psychischen Komponente steht eher eine depressive Symptomatik.
---
Im Vordergrund der psychischen Symptomatik stehen eine depressive sowie eine Angstsymptomatik.
---
Im Vordergrund der psychischen Komponente steht eine Angst- und depressive Symptomatik.
---
Im Vordergrund der psychischen Komponente steht gemischte Symptomatik mit Antriebsschwäche und Depression.
---
Im Vordergrund der psychischen Komponente steht gemischte Symptomatik mit Angst und Depression.
---
Im Vordergrund der psychischen Komponente steht eine Angst und depressive Symptomatik.
---
Im Vordergrund der psychischen Komponente steht Angst und depressive Symptomatik.
---
Im Vordergrund der psychischen Komponente steht eine rezidivierende depressive Störung."
127,Schlafstörungen,24,24,4.1,Ihr Schlaf sei von Durchschlafstörungen gestört.
42,Boilerplate – Erwartungen,24,24,4.1,"Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung."
138,Angst / Panik,23,23,3.9,Sie leide unter innere Unruhe.
102,Sonstige / unbekannt,23,23,3.9,"Weiterhin berichtet er über Konzentrations- und Merkfähigkeitsstörungen.
---
Weiterhin berichtet er über Konzentrations- sowie Merkfähigkeitsstörungen.
---
Zudem berichtet er über Konzentrations- und Merkfähigkeitsstörungen.
---
Er berichtet über Konzentrations- und Merkfähigkeitsstörungen.
---
Weiterhin berichtet er über ausgeprägten Konzentrations- und Merkfähigkeitsstörungen."
69,Schwindel,24,23,3.9,"Verschlechterung durch Kälte, Feuchtigkeit, Wind und im Winter.
---
Verschlechterung durch Kälte und Feuchtigkeit.
---
Verschlechterung durch Kälte, Wind sowie Feuchtigkeit.
---
Verschlechterung durch übermäßige Belastung und Kälte.
---
Verschlechterung durch Belastung, Kälte und Wind.
---
Besserung durch Wärme, Verschlechterung durch Kälte.
---
Verschlechterung durch Kälte.
---
Eine deutliche Verschlechterung der Beschwerden trete hingegen bei kaltem Wetter bzw. in den kalten Jahreszeiten sowie unter körperlicher Belastung auf.
---
Verschlimmerung durch Kälte.
---
Linderung erfahre er durch Wärme, Verschlechterung durch Kälte.
---
Eine Verschlechterung tritt insbesondere bei nasskaltem Wetter, allgemeiner Kälteexposition sowie unter Stressbelastung auf.
---
Verschlechterung: Kälte, Wind, Stress.
---
Besonders in den kalten Monaten sowie bei kaltem, feuchtem Wetter oder unter Stress verschlimmern sich die Beschwerden deutlich.
---
Kälte und Stress verschlimmert in der Regel die Schwankschwindel-Symptomatik.
---
Besserung durch die Kälte."
136,Angst / Panik,22,22,3.7,"Er leidet häufig unter innere Unruhe.
---
Er spüre häufig innere Unruhe.
---
Er leide häufig unter innere Unruhe.
---
Teilweise verspüre er innere Unruhe.
---
Er sei häufig gereizt und leide unter innere Unruhe.
---
Teilweise leide si unter innere Unruhe.
---
Er spüre manchmal innere Unruhe.
---
Er verspüre fast immer eine innere Unruhe.
---
Zudem leide er unter innerer Unruhe.
---
Er grüble viel und leide unter innerer Unruhe.
---
Fast ständig spüre er innere Unruhe.
---
Er leide teilweise unter innere Unruhe."
87,Sonstige / unbekannt,21,21,3.5,Sie fühle sich häufig energielos.
180,Schwindel,22,21,3.5,"Ferner berichtet die Patientin über seit vielen Jahren bestehende Kopfschmerzen, die überwiegend am Scheitel lokalisiert sind.
---
Kurz gefasst leide die Patientin seit vielen Jahren unter Kopfschmerzen, die in zwei Kopfschmerzarten auftreten, zu leiden.
---
Weiterhin leide die Patientin seit Jahren unter chronischen Kopfschmerzen, die in Form von Migräne oder Spannungskopfschmerzen auftreten.
---
Darüber hinaus leidet die Patientin unter starken Kopfschmerzen, Darüber hinaus leidet die Patientin seit Jahren unter Kopfschmerzen, die nach ihrer Aussage in letzter Zeit etwas milder geworden sind als früher.
---
Zudem berichtet sie vielen Jahren unter Kopfschmerzen zu leiden.
---
Darüber hinaus gibt die Patientin an, dass sie seit Jahren unter episodischen Kopfschmerzen leidet.
---
Die Patient gibt außerdem an, dass die Kopfschmerzen häufig von Kieferschmerzen begleitet werden.
---
Bei Aufnahmegespräch berichtet die Patientin, seit Jahren unter Kopfschmerzen vom Spannungstyp zu leiden.
---
Darüber hinaus berichtet sie, seit über einem Jahr unter intermittierenden Kopfschmerzen, welche sie auf der Stirn und auf dem Scheitel lokalisiert, zu leiden.
---
Daneben berichtet der Patient, seit über 20 Jahren unter intermittierend ziehende Nackenbeschwerden mit immer wieder auftretenden Kopfschmerzen zu leiden.
---
Daneben berichtet der Patient, seit über 20 Jahren unter intermittierenden ziehenden Nackenbeschwerden mit immer wieder auftretenden Kopfschmerzen zu leiden.
---
Als Begleiterscheinungen treten hier häufigen Kopfschmerzen und Schwindel auf.
---
Weiterhin berichtet der Patient über gelegentlich auftretende Kopfschmerzen, die alle paar Tage auftreten und am Hinterkopf lokalisiert sind.
---
Zum anderen berichtet die Patientin über persistierende, als nervenbedingt empfundene Kopfschmerzen.
---
Als Begleiterscheinungen gibt die Patientin häufigen Kopfschmerzen, fast ständige Nacken-Schulter-Verspannung sowie häufigen Blockaden an.
---
Als Begleiterscheinungen gibt die Patientin Kopfschmerzen an.
---
Immer wieder träten Schwindel, Benommenheit und Kopfschmerzen auf.
---
Die Patientin gibt auch an, dass sie seit Jahren unter verschiedenen Kopfschmerzen leidet.
---
Kopfschmerzen, die sich in der letzten Zeit deutlich gebessert haben."
134,Stimmung / Depression,21,21,3.5,"Stimmung sei schwankend, häufig gedrückt.
---
Stimmung sei schwankend, oft gedrückt.
---
Stimmung sei schwankend, sehr oft auch gedrückt.
---
Die Stimmung sei schwankend, häufig gedrückt.
---
Die Stimmung sei häufig gedrückt.
---
Stimmung sei häufig gedrückt.
---
Die Stimmungslage sei schwankend, häufig auch gedrückt.
---
Die Stimmung sei schwankend und häufig gedrückt.
---
Stimmung sei meistens gedrückt.
---
Stimmung sei sehr schwankend und häufig gedrückt."
67,Schmerzen – Charakter,24,21,3.5,"Die Schmerzintensität beträgt nach der VAS (0 – 10 Punkte) 7-8 Punkte.
---
Die Schmerzintensität beträgt nach der VAS (0 – 10 Punkte) 7,5 Punkte.
---
Die Schmerzintensität beträgt nach der VAS (0 – 10 Punkte) 7 Punkte.
---
Die Schmerzen werden als stechend beschreiben und erreichen Werte nach der VAS (0 – 10 Punkte) von 7 – 8 Punkten.
---
Die Schmerzintensität beträgt nach der Visuellen Analogskala (= VAS, 0 – 10 Punkte) 6-7Punkte.
---
Die Schmerzintensität beträgt nach der VAS (0-10 Punkte) bei 4 Punkten, mit Spitzen von 8-9 Punkte
---
Die Schmerzintensität wird auf der VAS (0-10 Punkte) mit 5-6 Punkten angegeben.
---
Die Schmerzintensität beträgt auf der Visuellen Analogskala (VAS, 0–10 Punkte) 7 bis 9 Punkte.
---
Die Schmerzintensität betrage im Mittel auf einer Visuellen Analogskala (= VAS, 0 – 10 Punkte) von 5 bis 6 Punkten.
---
Die Schmerzstärke nach VAS (0-10 Punkte) liege bei 9 Punkten.
---
Die Schmerzen würden eine Stärke nach Visuellen Analogskala (=VAS 0-10) von 7-8 Punkten erreichen.
---
Die Schmerzintensität wird mit 8 von 10 Punkten auf der visuellen Analogskala (VAS) angegeben.
---
Die Schmerzintensität liegt bei 7-8 auf der VAS in Ruhe und steigere sich bis auf 10 unter Belastung.
---
Die Schmerzen werden als bohrend und brennend beschrieben mit durchschnittlicher Intensität 8 von 10 auf der Visuellen Analogskala (= VAS, 0 – 10 Punkte) der Maximalschmerz kann aber bis zu 10 von 10 tangieren.
---
Schmerzen werden als ziehend und stechend beschrieben und erreichen Werte von 7-8 auf der VAS.
---
Die Schmerzintensität beträgt nach der VAS 7 Punkte.
---
Schmerzcharakter: meistens drückend, dumpf. 3-9 Punkte nach VAS.
---
Bei Aufnahme hatten die Schmerzen auf einer numerischen Skala von 0 bis 10 eine durchschnittliche Intensität von VAS 5-6 und eine maximale Intensität von VAS 8.
---
Die jetzige Schmerzintensität gibt der Patient bei 3 Punkten auf der Visuellen Analogskala (= VAS, 0 – 10 Punkte) an.
---
Durchschnittliche Schmerzintensität liegt bei 5 Pkt. nach VAS (0-10)."
139,Sonstige / unbekannt,21,20,3.4,"Lokale wärme sowie Krankengymnastik könne die Schmerzen kurzzeitig lindern.
---
Nach Angaben des Patienten lindert lokale Wärme die Schmerzen.
---
Unter lokaler Wärmetherapie lässt der Schmerz etwas nach.
---
Lokale Wärme sowie manuelle Therapie würde zur kurzzeigen Linderung der Schmerzen führen.
---
Lokale Wärme und manuelle Therapie lindern die Schmerzen.
---
Eine vorübergehende Besserung der Schmerzsymptomatik erfährt die Patientin durch lokale Wärmeanwendungen sowie manuelle Therapie.
---
Lokale Wärme lindert kurzfristig den Schmerz.
---
Auch lokale Wärmeanwendung führt kurzfristig zu einer Besserung der Schmerzen.
---
Als Schmerzlindernde Faktoren gibt die Patientin lokale Wärme und Physiotherapie an.
---
Der Patient gibt außerdem an, dass Wärme im Allgemeinen die Schmerzen lindert.
---
Die Schmerzen werden durch Wärme sowie Krankengymnastik kurzzeitig besser.
---
Insgesamt berichtet die Patientin, dass Wärme eine lindernde Wirkung auf die Schmerzen habe.
---
Als Schmerzlindernde Faktoren gibt die Patientin lokale Wärme und Krankengymnastik an."
1,Stimmung / Depression,20,20,3.4,"Zudem berichtet sie über Freud- und Interessenverlust.
---
Weiterhin berichtet sie über Freud- und Interessenverlust.
---
Sie berichtet über Freud- und Interessenverlust.
---
Sie berichtet teilweise über Freud- und Interessenverlust.
---
Zudem berichtet er über Freud- und Interessenverlust.
---
Er berichtet teilweise über Freud- und Interessenverlust.
---
Weiterhin berichtet er teilweise über Freud- und Interessenverlust.
---
Sie berichtet teilweise über Freud- und Interessenverlust und ihre Stimmung sei schwankend, teilweise gedrückt.
---
Teilweise leide sie über Freud- und Interessenverlust.
---
Außerdem besteht ein Freud- und Interessenverlust und seine Stimmung sei größtenteils energieabhängig."
167,Sonstige / unbekannt,20,20,3.4,"Linderung durch Wärme sowie manuelle Therapie.
---
Linderung: Wärme und manuelle Therapie.
---
Linderung: Wärme, manuelle Therapie.
---
Kurzzeitige Linderung: Wärme, manuelle Therapie.
---
Kurzzeitige Linderung durch lokale Wärme und manuelle Therapie.
---
Linderung durch lokale Wärmetherapie, sowie manuelle Therapie.
---
Linderung lokale Wärme sowie manuelle Therapie.
---
Linderung eher durch lokale Wärme sowie manuelle Therapie."
91,Sonstige / unbekannt,19,19,3.2,"Sie habe oft das Gefühl, dass sie langsam keine Kraft mehr habe."
142,Erschöpfung / Müdigkeit,19,19,3.2,"Die Patientin berichtet, sich häufig erschöpft zu fühlen und ihre Belastungsgrenze deutlich früher zu erreichen als zuvor.
---
Der Patient berichtet, sich häufig erschöpft zu fühlen und seine Belastungsgrenze deutlich früher zu erreichen als zuvor.
---
Die Patientin berichtet, sich häufig erschöpft zu fühlen und ihre Belastungsgrenze deutlich früher als zuvor zu erreichen.
---
Bezüglich der Müdigkeitssymptomatik konkretisiert die Patientin, dass sie sich häufig sehr erschöpft fühle und ihre Belastbarkeitsgrenze deutlich schneller als früher erreicht sei.
---
Die Patientin klagt über ein ausgeprägtes Erschöpfungsgefühl, ihre Belastungsgrenze sei deutlich schneller erreicht als früher.
---
Der Patient berichtet über ein ausgeprägtes Erschöpfungsgefühl, seine Belastungsgrenze sei deutlich schneller erreicht als früher.
---
Zur Beschreibung seines Erschöpfungssyndroms gibt der Patient an, dass er sich sehr erschöpft fühle und seine Belastbarkeitsgrenze schneller als früher erreicht sei.
---
Bei Aufnahme berichtet die Patientin, dass sie sich sehr erschöpft fühle und ihre Belastbarkeitsgrenze sei schneller als vorher erreicht.
---
Die Patientin fühle sich häufig müde, ihre Belastbarkeitsgrenze werde schneller als früher erreicht.
---
Der Patient fühle sich häufig erschöpft und seine Belastbarkeitsgrenze sei schneller als vorher erreicht, außerdem verspüre er häufig eine innere Unruhe.
---
Sie fühle sich häufig erschöpft und erreiche ihre Belastungsgrenze deutlich früher als zuvor."
111,Belastbarkeit,19,19,3.2,"Den aktuellen Zustand beschreibt sie als eine Verminderung des Antriebs und der Leistungsfähigkeit.
---
Den aktuellen Zustand beschreibt er als eine Verminderung des Antriebs und der Leistungsfähigkeit.
---
Den aktuellen Zustand beschreibt sie als eine deutliche Verminderung des Antriebs und der Leistungsfähigkeit.
---
Den aktuellen Zustand beschreibt er als eine deutliche Verminderung des Antriebs und der Leistungsfähigkeit.
---
Den aktuellen Zustand beschreibt sie als eine deutliche Verminderung von Antrieb und Leistungsfähigkeit."
31,Tinnitus,19,19,3.2,"Tinnitus sei intermittierend vorhanden.
---
Der Tinnitus sei beidseitig vorhanden, dauerhaft spürbar und schwanke in seiner Intensität.
---
Der Tinnitus sei dauerhaft vorhanden, mit wechselnder Intensität, verstärkt unter Stress.
---
Tinnitus sei permanent von unterschiedlicher Ausprägung vorhanden.
---
Der Tinnitus sei beidseits lokalisiert, kontinuierlich wahrnehmbar und schwanke in seiner Intensität.
---
Tinnitus sei immer von unterschiedlicher Ausprägung vorhanden.
---
Der Tinnitus sei immer von unterschiedlicher Ausprägung vorhanden.
---
Der Tinnitus sei praktisch ständig präsent, jedoch in wechselnder Intensität – eine Verstärkung trete insbesondere in Stresssituationen auf.
---
Tinnitus sei nicht immer aber sehr häufig vorhanden.
---
Er gibt zusätzlich an, dass der Tinnitus unter Stress viel intensiver ist.
---
Charakter von dem Tinnitus sei Brummen.
---
Die Patientin gibt an, dass Stress der wichtigste Faktor ist, der ihren Tinnitus beeinflusst."
176,Kopfschmerzen / Migräne,19,19,3.2,"Hinsichtlich weiteren somatischer Beschwerden berichtet die Patientin seit Jahren unter Kopfschmerzen, die in zwei Kopfschmerzarten auftreten, zu leiden.
---
Hinsichtlich weiteren somatischer Beschwerden berichtet die Patientin seit über dreißig Jahren unter chronischen Kopfschmerzen, die in Form von Migräne oder Spannungskopfschmerzen auftreten, zu leiden.
---
Hinsichtlich weiterer somatischer Beschwerden berichtet die Patientin seit 3-4 Jahren unter Kopfschmerzen, die sich in der letzten 2 Jahren deutlich verschlechtern haben, zu leiden.
---
Hinsichtlich somatischer Beschwerden berichtet die Patientin seit über dreißig Jahren unter chronischen Kopfschmerzen, die in Form von Migräne oder Spannungskopfschmerzen auftreten, zu leiden.
---
Hinsichtlich weiterer somatischer Beschwerden berichtet der Patient, seit Jahren unter Kopfschmerzen zu leiden, die in zwei unterschiedlichen Kopfschmerzarten auftreten.
---
Hinsichtlich somatischer Beschwerden berichtet der Patient seit ca. zwanzig Jahren unter Kopfschmerzen, die in zwei Kopfschmerzarten auftreten, zu leiden.
---
Hinsichtlich somatischer Beschwerden berichtet die Patientin seit ca. zehn Jahren unter Kopfschmerzen, die in zwei Kopfschmerzarten auftreten und seit o.g.
---
Hinsichtlich somatischer Beschwerden berichtet der Patient seit über dreißig Jahren unter chronischen Kopfschmerzen, die in Form von Migräne oder Spannungskopfschmerzen auftreten, zu leiden.
---
Hinsichtlich weiterer somatischer Beschwerden berichtet die Patientin, dass sie seit über zwanzig Jahren unter fast immer bestehenden Kopfschmerzen von pochender Schmerzqualität leidet.
---
Hinsichtlich weiterer somatischer Beschwerden berichtet die Patientin, seit mehr als 11 Jahren unter drückenden Kopfschmerzen vom Spannungstyp im Stirn- und Nackenbereich zu leiden.
---
Hinsichtlich weiterer somatischer Beschwerden berichtet die Patientin, seit mehr als 12 Jahren unter drückenden Kopfschmerzen vom Spannungstyp im Stirn- und Nackenbereich zu leiden.
---
Hinsichtlich weiterer somatischer Beschwerden berichtet die Patientin, seit mehr als 10 Jahren unter drückenden Kopfschmerzen vom Spannungstyp im Stirn- und Nackenbereich zu leiden.
---
Hinsichtlich somatischer Beschwerden berichtet der Patient seit über zwanzig Jahren immer wieder unter Kopfschmerzen zu leiden.
---
Hinsichtlich weiteren somatischer Beschwerden berichtet der Patient seit über fünfzehn Jahren fast jeden Tag unter Kopfschmerzen, die in zwei Kopfschmerzarten auftreten, zu leiden.
---
Hinsichtlich somatischer Beschwerden gibt die Patientin seit mehreren Jahren unter zwei unterschiedlichen Kopfschmerzformen leidend an.
---
Hinsichtlich weiterer somatischer Beschwerden berichtet die Patientin, seit dem Jugendalter unter häufigen Kopfschmerzen zu leiden, die in zwei unterschiedlichen Typen auftreten.
---
Hinsichtlich somatischer Beschwerden berichtet die Patientin seit ihrer Kindheit unter Kopfschmerzen, die in zwei Kopfschmerzarten auftreten, zu leiden.
---
Hinsichtlich somatischer Beschwerden berichtet der Patient, dass er seit etwa sechs Jahren unter gelegentlichen, eher milden Kopfschmerzen leidet.
---
Hinsichtlich somatischer Beschwerden berichtet die Patientin – wie bereits oben erwähnt – seit 34 Jahren unter Migräne zu leiden."
74,Reizdarm / GI,18,18,3.0,"Es wird eine Reizdarmsyndrom vermutet.
---
Es wird ein Reizdarmsyndrom vermutet.
---
Es wurde hier ein Reizdarmsyndrom vermutet.
---
Ein Reizdarmsyndrom wurde bereits in Erwägung gezogen."
11,Boilerplate – Erwartungen,18,18,3.0,"Vom Aufenthalt erhoffe sie, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden
---
Vom Aufenthalt erhoffe sie sich, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden"
44,Boilerplate – Erwartungen,18,18,3.0,"Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdenlinderung.
---
Vom Aufenthalt erhoffe der Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdenlinderung."
40,Boilerplate – Erwartungen,18,18,3.0,"Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung.
---
Vom Aufenthalt erhofft sich der Patient, wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung."
187,LWS-Beschwerden,22,18,3.0,"Die Schmerzen werden als ziehend beschrieben, in letzter Zeit mit Ausstrahlung entlang der Rückseite des linken Oberschenkels bis zur Kniekehle.
---
Im Bereich der Lendenwirbelsäule bestünden ebenfalls intermittierende, ziehende Schmerzen mit gelegentlicher Ausstrahlung in die Rückseite des rechten Oberschenkels.
---
Zusätzlich bestehen Schmerzen, die auf die Rückseite des linken Oberschenkels bis zur Kniekehle ausstrahlen.
---
Die Schmerzen seien überwiegend im Hinterkopf- sowie Stirnbereich lokalisiert und würden beidseits in die Schläfen ausstrahlen.
---
Schmerzen werden intermittierend vorhanden und als ziehenden empfunden mit Ausstrahlung in den Hinterkopf links.
---
Gleichzeitig bestehen auch ausstrahlende Schmerzen von der rechten Knieaußenseite im Generalstreifen bis zum Lendenwirbelbereich.
---
Als weiteres Problem nennt sie langjährige Schmerzen im Bereich der Lendenwirbelsäule mit häufiger Ausstrahlung in beide Oberschenkel bis zu den Knien, linksbetont.
---
Die Schmerzen würden als ziehend und pochend beschrieben und strahlten vom unteren Rücken bis in die Hinterseite beider Oberschenkel, rechtsbetont, aus.
---
Intermittierende Schmerzen werden ziehende empfunden mit Ausstrahlung über den Hinterkopf bis zum Stirnbereich.
---
Schmerzen seien meistens entweder an den Schläfen oder am Hinterkopf mal rechst mal links lokalisiert.
---
Es handelt sich um rezidivierende, zum Teil stark ausgeprägte, tief sitzende Kreuzschmerzen mit Ausstrahlung in die linke Flanke, den Unterbauch sowie die Leiste.
---
Die Beschwerden äußern sich in ziehenden, tief sitzenden Schmerzen im Bereich der Lendenwirbelsäule mit Ausstrahlung in beide Hüftregionen sowie Oberschenkel.
---
Die Schmerzen strahlen von der medialen Knieseite über den Oberschenkel nach vorne bis zur rechten Hüfte aus.
---
Die Schmerzen sind am Hinterkopf sowie an den Schläfen lokalisiert.
---
Es handelt sich um intermittierende Beschwerden von ziehendem Schmerzcharakter mit Ausstrahlung in den rechten Oberschenkel."
212,Schmerzen – Charakter,18,18,3.0,"Schmerzen werden als ziehenden sowie stechenden empfunden.
---
Schmerzen werden als ziehende sowie stechenden empfunden.
---
Schmerzen werden als stechenden sowie ziehenden empfunden.
---
Schmerzen werden als ziehenden und pochenden empfunden.
---
Die Schmerzen werden als pochend sowie stechend empfunden.
---
Schmerzen werden als stechend sowie pochend empfunden.
---
Die Schmerzen werden als ziehenden und stechenden empfunden.
---
Schmerzen werden als stechenden und ziehenden empfunden.
---
Diese Schmerzen werden als ziehend sowie stechend empfunden.
---
Die Schmerzen werden als pochend und stechend empfunden.
---
Schmerzen werden als pochenden sowie ziehenden empfunden.
---
Schmerzen werden stechenden sowie ziehenden empfunden.
---
Schmerzen werden als ziehenden, teilweise auch stechenden empfunden.
---
Diese Schmerzen werden als stechenden und ziehenden empfunden."
184,Schmerzen – Charakter,18,18,3.0,"Schmerzen werden als stechenden, kribbelnden sowie brennenden empfunden.
---
Die Schmerzen werden als ziehend und brennend empfunden.
---
Schmerzen werden als ziehenden, stechenden und brennenden empfunden.
---
Die Schmerzen werden als brennend und pochend sowie ziehenden empfunden.
---
die Schmerzen seien brennend und ziehend.
---
Schmerzen werden als brennenden empfunden.
---
Die Schmerzen seien ziehend und brennend.
---
Die Schmerzen seien von brennendem und stechendem Charakter.
---
Schmerzen werden als ziehenden, brennenden sowie pochenden empfunden.
---
Schmerzen werden als brennende empfunden.
---
Schmerzen werden als brennende sowie sägende beschrieben.
---
Schmerzen selbst werden als brennende empfunden.
---
Die Schmerzen treten belastungsabhängig auf und werden als brennend beschrieben.
---
Bei starken Schmerzen auch brennender Schmerzcharakter.
---
Nach der Darmentleerung seien die Schmerzen von brennendem Schmerzcharakter.
---
Es handelt sich um anhaltende Schmerzen von stechendem und brennendem Schmerzcharakter."
0,Sonstige / unbekannt,18,18,3.0,"Energieniveau: 40 %.
---
Energieniveau: 20 %.
---
Das Energieniveau läge nur noch bei 20-30 %.
---
Aktuell gibt er sein allgemeines Energieniveau mit 30 – 40% an.
---
Aktuell gibt sie ihr allgemeines Energieniveau mit 30 – 40% an.
---
Das subjektive Energieniveau liege bei etwa 30–40 %.
---
Das allgemeine Energieniveau liege bei ca. 20 %.
---
Energieniveau 50-60 %.
---
Energieniveau: 30 %.
---
Das aktuelle Energieniveau beträgt ca. 40-50%.
---
Das Energieniveau läge nur noch bei 20 %.
---
Das Energieniveau läge nur noch bei 20%.
---
Dadurch besteht ein Energieniveau von nur 25 %.
---
Das allgemeine Energieniveau liege bei nur noch 35 %.
---
Das allgemeine Energieniveau liege bei nur noch 60 %."
